ds,simulation,set,value
2012-11-01,sim_1,train,100607.15883897195
2012-12-01,sim_1,train,125410.25942992895
2013-01-01,sim_1,train,124500.48855968846
2013-02-01,sim_1,train,139709.0991904159
2013-03-01,sim_1,train,128909.28701278806
2013-04-01,sim_1,train,86618.39312220954
2013-05-01,sim_1,train,71276.0628726971
2013-06-01,sim_1,train,119259.55585987795
2013-07-01,sim_1,train,113275.81781843644
2013-08-01,sim_1,train,78266.71377615303
2013-09-01,sim_1,train,65165.60859343721
2013-10-01,sim_1,train,95797.14748893229
2013-11-01,sim_1,train,108258.62601211836
2013-12-01,sim_1,train,139774.0607172557
2014-01-01,sim_1,train,132510.74247908394
2014-02-01,sim_1,train,137316.38752980522
2014-03-01,sim_1,train,131703.3676332315
2014-04-01,sim_1,train,105531.72373197385
2014-05-01,sim_1,train,104047.44779390842
2014-06-01,sim_1,train,146562.4240469707
2014-07-01,sim_1,train,144113.9503831503
2014-08-01,sim_1,train,112909.88363443634
2014-09-01,sim_1,train,90581.99465216065
2014-10-01,sim_1,train,121230.73804156476
2014-11-01,sim_1,train,124748.76756657023
2014-12-01,sim_1,train,172151.19824794505
2015-01-01,sim_1,train,129539.19653282146
2015-02-01,sim_1,train,142162.89162665163
2015-03-01,sim_1,train,123249.11179070578
2015-04-01,sim_1,train,94729.55675355428
2015-05-01,sim_1,train,83629.98589676073
2015-06-01,sim_1,train,137718.492742582
2015-07-01,sim_1,train,135158.31374404603
2015-08-01,sim_1,train,119510.3673844664
2015-09-01,sim_1,train,81112.69909297772
2015-10-01,sim_1,train,106723.31892963556
2015-11-01,sim_1,train,109882.8140433895
2015-12-01,sim_1,train,164045.97631410148
2016-01-01,sim_1,train,130769.37702874086
2016-02-01,sim_1,train,146387.32047159685
2016-03-01,sim_1,train,130484.53805945811
2016-04-01,sim_1,train,109725.06009257383
2016-05-01,sim_1,train,95723.14221931995
2016-06-01,sim_1,train,103600.55918218219
2016-07-01,sim_1,train,125043.98852150998
2016-08-01,sim_1,train,131924.45490196062
2016-09-01,sim_1,train,101732.00587594183
2016-10-01,sim_1,train,114412.50512851075
2016-11-01,sim_1,train,122125.80950696718
2016-12-01,sim_1,train,152181.6415604743
2017-01-01,sim_1,train,144100.58787948228
2017-02-01,sim_1,train,149819.74902288505
2017-03-01,sim_1,train,134043.7069205538
2017-04-01,sim_1,train,93663.0501727697
2017-05-01,sim_1,train,76806.75122392474
2017-06-01,sim_1,train,69304.82322411545
2017-07-01,sim_1,train,106149.96555457094
2017-08-01,sim_1,train,118988.64012497093
2017-09-01,sim_1,train,88963.25720685492
2017-10-01,sim_1,train,104933.35266672913
2017-11-01,sim_1,train,112053.4642088241
2017-12-01,sim_1,train,148058.49835292032
2018-01-01,sim_1,train,136568.1543128038
2018-02-01,sim_1,train,145316.88995861102
2018-03-01,sim_1,train,131446.19079174893
2018-04-01,sim_1,train,94914.48987574744
2018-05-01,sim_1,train,73687.88741348624
2018-06-01,sim_1,train,71180.19152374139
2018-07-01,sim_1,train,111665.16355500826
2018-08-01,sim_1,train,106687.69352090788
2018-09-01,sim_1,train,95554.1475696658
2018-10-01,sim_1,train,95939.121526518
2018-11-01,sim_1,train,103139.45785631477
2018-12-01,sim_1,train,134926.2509351881
2019-01-01,sim_1,train,140631.97913808198
2019-02-01,sim_1,train,149951.41482951865
2019-03-01,sim_1,train,128852.30098224262
2019-04-01,sim_1,train,88255.97749805791
2019-05-01,sim_1,train,71556.35414660358
2019-06-01,sim_1,train,80544.5398332671
2019-07-01,sim_1,train,93061.88745225259
2019-08-01,sim_1,train,90105.5349141355
2019-09-01,sim_1,train,78227.8446855945
2019-10-01,sim_1,train,91271.66058002786
2019-11-01,sim_1,train,99833.19795381743
2019-12-01,sim_1,train,135601.21270668777
2020-01-01,sim_1,train,136074.8037724822
2020-02-01,sim_1,train,138585.1074411241
2020-03-01,sim_1,train,144498.88482308458
2020-04-01,sim_1,train,99457.66645273882
2020-05-01,sim_1,train,71203.6852876588
2020-06-01,sim_1,train,84583.71335556621
2020-07-01,sim_1,train,74766.3180749933
2020-08-01,sim_1,train,97005.14971515627
2020-09-01,sim_1,train,89041.02337050105
2020-10-01,sim_1,train,104674.52749820334
2020-11-01,sim_1,train,115735.99908268018
2020-12-01,sim_1,train,137838.49393707095
2021-01-01,sim_1,train,135801.9394262041
2021-02-01,sim_1,train,141023.79685358607
2021-03-01,sim_1,train,136828.05613653891
2021-04-01,sim_1,train,96440.57412932499
2021-05-01,sim_1,train,74080.19761023336
2021-06-01,sim_1,train,87442.41413280476
2021-07-01,sim_1,train,87670.24469065442
2021-08-01,sim_1,train,97910.85368399078
2021-09-01,sim_1,train,83460.44180235939
2021-10-01,sim_1,train,97637.70635747412
2021-11-01,sim_1,train,109438.31033562846
2021-12-01,sim_1,train,137162.89661269935
2022-01-01,sim_1,train,143806.41295706626
2022-02-01,sim_1,train,142392.62334600385
2022-03-01,sim_1,train,136780.42175695574
2022-04-01,sim_1,train,93496.8797618615
2022-05-01,sim_1,train,74735.76563526444
2022-06-01,sim_1,train,80127.64749142768
2022-07-01,sim_1,train,99255.3510151142
2022-08-01,sim_1,train,94951.05864377573
2022-09-01,sim_1,train,84319.73256547767
2022-10-01,sim_1,train,93029.36621677992
2022-11-01,sim_1,train,111789.1686920054
2022-12-01,sim_1,train,134363.3743043203
2023-01-01,sim_1,train,134862.93480625315
2023-02-01,sim_1,train,130144.65884763731
2023-03-01,sim_1,train,123717.17016802078
2023-04-01,sim_1,train,93806.13883540279
2023-05-01,sim_1,train,74697.80434396464
2023-06-01,sim_1,train,73096.66842577649
2023-07-01,sim_1,train,86531.1276925228
2023-08-01,sim_1,train,85752.88506230878
2023-09-01,sim_1,train,80786.35450585623
2023-10-01,sim_1,train,90775.11974794227
2023-11-01,sim_1,train,104456.14686782789
2023-12-01,sim_1,train,136514.44621945982
2024-01-01,sim_1,forecast,129428.31789591836
2024-02-01,sim_1,forecast,127849.44190376137
2024-03-01,sim_1,forecast,121417.90558518442
2024-04-01,sim_1,forecast,92124.4878797082
2024-05-01,sim_1,forecast,77749.50153042036
2024-06-01,sim_1,forecast,80587.42009234846
2024-07-01,sim_1,forecast,91024.16828753862
2024-08-01,sim_1,forecast,92754.74115553811
2024-09-01,sim_1,forecast,82996.6262799101
2024-10-01,sim_1,forecast,92936.83240828649
2024-11-01,sim_1,forecast,103540.30699582132
2024-12-01,sim_1,forecast,127954.30489222503
2000-01-01,sim_10,train,83900.65689603216
2000-02-01,sim_10,train,79801.98543123054
2000-03-01,sim_10,train,78652.9998281789
2000-04-01,sim_10,train,62930.2179551653
2000-05-01,sim_10,train,50285.17081771567
2000-06-01,sim_10,train,45995.51152083741
2000-07-01,sim_10,train,68410.69073604095
2000-08-01,sim_10,train,68929.59767730365
2000-09-01,sim_10,train,58570.86583831342
2000-10-01,sim_10,train,63622.72896433862
2000-11-01,sim_10,train,66621.68198794051
